CELLLINE	MCF7	MDA-MB-231	HS-578T	BT-549	T-47D	SF-268	SF-295	SF-539	SNB-19	SNB-75	U251	COLO-205	HCC-2998	HCT-116	HCT-15	HT29	KM12	SW-620	CCRF-CEM	HL-60(TB)	K-562	MOLT-4	RPMI-8226	SR	LOX-IMVI	MALME-3M	M14	SK-MEL-2	SK-MEL-28	SK-MEL-5	UACC-257	UACC-62	MDA-MB-435	A549/ATCC	EKVX	HOP-62	HOP-92	NCI-H226	NCI-H23	NCI-H322M	NCI-H460	NCI-H522	IGROV1	OVCAR-3	OVCAR-4	OVCAR-5	OVCAR-8	SK-OV-3	NCI/ADR-RES	PC-3	DU-145	786-0	A498	ACHN	CAKI-1	RXF-393	SN12C	TK-10	UO-31
U251	0.88898601	0.929444399	0.930780713	0.946657265	0.884645767	0.937307119	0.933525049	0.932642841	0.955152917	0.948141113	1	0.868516222	0.891496798	0.932613623	0.912028751	0.913058696	0.904838826	0.905911485	0.873875376	0.902246515	0.8870034	0.892314214	0.91674757	0.901920649	0.926068361	0.92210645	0.914275763	0.918738192	0.925621968	0.902579569	0.917040467	0.923962476	0.921645377	0.940545245	0.934378031	0.938887157	0.904641732	0.916718118	0.93083051	0.915544031	0.917794451	0.929262134	0.918720578	0.899354859	0.92335133	0.92051567	0.921404299	0.934067866	0.942413976	0.943788258	0.946324486	0.925857927	0.891980793	0.907248816	0.919743297	0.923959429	0.91034333	0.927849194	0.924054221
COLO-205	0.902536302	0.887213931	0.873696406	0.889388452	0.90153032	0.843744003	0.864196154	0.866272355	0.882139433	0.905131728	0.868516222	1	0.941494306	0.917419066	0.931858936	0.9365875	0.943876996	0.933160487	0.863457159	0.883976176	0.878985387	0.904123272	0.905881988	0.892223041	0.891035841	0.884075899	0.856628016	0.870500561	0.893202608	0.878653793	0.875020434	0.877489003	0.856037995	0.888981806	0.909685662	0.881029702	0.89827099	0.878211685	0.877583657	0.90647311	0.87785319	0.879263706	0.89694534	0.889557723	0.894281758	0.94052313	0.896144102	0.898835185	0.885045879	0.903205055	0.898251137	0.895219802	0.863234559	0.895811347	0.893012164	0.910532021	0.854716677	0.920458199	0.898639705
HCC-2998	0.91669919	0.903327712	0.893892462	0.898954055	0.906592033	0.865284633	0.892170839	0.882725345	0.891324675	0.923066447	0.891496798	0.941494306	1	0.934557141	0.930476879	0.936731498	0.949224623	0.936781171	0.876528826	0.885397458	0.885686051	0.890124113	0.904504373	0.898947388	0.911241095	0.890949451	0.876464494	0.885465509	0.897777054	0.884686236	0.884232557	0.895273172	0.882884585	0.907032423	0.919564131	0.887781918	0.90002727	0.883290768	0.888172043	0.913615392	0.896625229	0.897722469	0.915531264	0.911191577	0.898486884	0.939716819	0.906319296	0.914101681	0.900094072	0.921987897	0.917512481	0.907324408	0.873519606	0.910724943	0.907679354	0.911273759	0.867777732	0.935959202	0.909774212
HCT-116	0.928473848	0.947796525	0.932362153	0.938941598	0.923981894	0.906565964	0.929002333	0.92171914	0.937335845	0.962403806	0.932613623	0.917419066	0.934557141	1	0.951270523	0.956467481	0.940721994	0.928188056	0.876377286	0.909899317	0.908784804	0.909601872	0.942685096	0.897797118	0.947639361	0.923795838	0.910154885	0.917460821	0.948261612	0.914619534	0.924141256	0.93158195	0.912731936	0.939309488	0.947021501	0.936640142	0.925108354	0.932068636	0.927622402	0.943335059	0.934470079	0.931937085	0.930165379	0.92753133	0.920829688	0.949965998	0.940611258	0.947822443	0.941337108	0.961355144	0.950397319	0.944969109	0.920895751	0.91486981	0.931094857	0.947427682	0.90989186	0.946766297	0.938690424
HCT-15	0.916377667	0.916975103	0.909405764	0.920853392	0.923057139	0.892682215	0.90093483	0.908461619	0.914473831	0.938259627	0.912028751	0.931858936	0.930476879	0.951270523	1	0.954489598	0.946017108	0.925832963	0.858076244	0.887899358	0.881513634	0.904708011	0.923670163	0.888442507	0.924258604	0.905528743	0.888338468	0.887000513	0.921676923	0.888194654	0.899708655	0.904579831	0.887055363	0.919706278	0.942533729	0.919547735	0.910707169	0.906786549	0.910424549	0.928252216	0.908847985	0.903714418	0.930691885	0.918588542	0.912273383	0.948503581	0.930815311	0.939617572	0.921970924	0.937555934	0.929462883	0.934333746	0.890968884	0.919832529	0.922017399	0.949776725	0.901531806	0.944340751	0.929307195
HT29	0.918628639	0.925247002	0.918796278	0.928860498	0.922097631	0.889322599	0.900822113	0.91021109	0.917921036	0.937641634	0.913058696	0.9365875	0.936731498	0.956467481	0.954489598	1	0.952100524	0.927160931	0.869548968	0.893409759	0.894830218	0.895617795	0.917437212	0.886702972	0.926571594	0.904016552	0.889945197	0.887614745	0.920815123	0.886007102	0.893180809	0.901819312	0.884075166	0.932381742	0.94836948	0.930129347	0.922369983	0.913421083	0.907881064	0.944370504	0.92002762	0.905869603	0.923152125	0.916783846	0.915245628	0.957614093	0.931174566	0.941206919	0.926654321	0.936363395	0.940221494	0.937645412	0.901150742	0.92568546	0.931951492	0.947811244	0.907286506	0.9460498	0.937144985
KM12	0.909908789	0.912312897	0.901798248	0.912954851	0.918748903	0.880446814	0.883961867	0.899009109	0.909612045	0.93044949	0.904838826	0.943876996	0.949224623	0.940721994	0.946017108	0.952100524	1	0.933916954	0.870364158	0.894683465	0.884978581	0.909968029	0.920422099	0.891412932	0.915868824	0.899485625	0.884911733	0.885375821	0.912055694	0.882772164	0.884073529	0.892510493	0.882632233	0.913296789	0.928484364	0.902078538	0.901702255	0.904020399	0.905674689	0.920527915	0.896229706	0.906442257	0.922488116	0.903367468	0.911804341	0.949582244	0.923219849	0.921548038	0.916278603	0.926511082	0.922128807	0.917839388	0.887316471	0.918779641	0.91244747	0.932729075	0.881209586	0.937697	0.915236823
SW-620	0.904447525	0.893375227	0.888488605	0.895965921	0.900788732	0.878312884	0.895695358	0.884766266	0.901489133	0.926242821	0.905911485	0.933160487	0.936781171	0.928188056	0.925832963	0.927160931	0.933916954	1	0.882706001	0.884278006	0.891654991	0.909061563	0.903501628	0.899373522	0.894476229	0.890944382	0.888215054	0.889209044	0.900241813	0.888311011	0.882125696	0.89566876	0.882896982	0.906487768	0.918458291	0.895935102	0.900314829	0.875097277	0.898225488	0.914655075	0.893422092	0.895633113	0.90686754	0.894787481	0.887707324	0.930028152	0.91016525	0.914903115	0.904334695	0.925046718	0.916784423	0.902626671	0.857725692	0.898955398	0.911582457	0.912128151	0.880372047	0.92203491	0.912315563
CCRF-CEM	0.878890579	0.879724269	0.881162135	0.878144402	0.849428634	0.864711868	0.864570075	0.871361817	0.890698306	0.886388894	0.873875376	0.863457159	0.876528826	0.876377286	0.858076244	0.869548968	0.870364158	0.882706001	1	0.926708273	0.890385124	0.937599682	0.890195518	0.911327904	0.886615308	0.87610423	0.868181885	0.881307711	0.870887964	0.860534413	0.879967459	0.865927381	0.873028013	0.871884265	0.874204956	0.872824011	0.864441788	0.864123515	0.857716954	0.870853144	0.874839577	0.892525557	0.856961392	0.838068614	0.856568492	0.89000561	0.886501111	0.878511878	0.890072666	0.875667945	0.878407359	0.870559103	0.857811036	0.858749618	0.861474464	0.875114789	0.840815784	0.8903166	0.865281682
HL-60(TB)	0.882355317	0.923244946	0.9163373	0.917817153	0.865417414	0.884292553	0.880408823	0.897879892	0.915196701	0.902417594	0.902246515	0.883976176	0.885397458	0.909899317	0.887899358	0.893409759	0.894683465	0.884278006	0.926708273	1	0.912542897	0.92815638	0.930430676	0.925968026	0.91078779	0.897108914	0.871255712	0.888430166	0.906187159	0.89417197	0.892933374	0.892988226	0.872356502	0.892405887	0.886266252	0.892091376	0.887921752	0.913031653	0.883037573	0.887690695	0.894094456	0.900939802	0.886763976	0.856944152	0.887926903	0.918408227	0.896564417	0.894784735	0.904331648	0.893253167	0.897616324	0.892205532	0.900083205	0.868888569	0.873539357	0.890267961	0.864169222	0.909439132	0.882404609
