CELLLINE NAME	MCF7	MDA-MB-231	HS-578T	BT-549	T-47D	SF-268	SF-295	SF-539	SNB-19	SNB-75	U251	COLO-205	HCC-2998	HCT-116	HCT-15	HT29	KM12	SW-620	CCRF-CEM	HL-60(TB)	K-562	MOLT-4	RPMI-8226	SR	LOX-IMVI	MALME-3M	M14	SK-MEL-2	SK-MEL-28	SK-MEL-5	UACC-257	UACC-62	MDA-MB-435	A549/ATCC	EKVX	HOP-62	HOP-92	NCI-H226	NCI-H23	NCI-H322M	NCI-H460	NCI-H522	IGROV1	OVCAR-3	OVCAR-4	OVCAR-5	OVCAR-8	SK-OV-3	NCI/ADR-RES	PC-3	DU-145	786-0	A498	ACHN	CAKI-1	RXF-393	SN12C	TK-10	UO-31
U251	0.888242684	0.84977978	0.904879312	0.902051893	0.891060471	0.903665948	0.946847498	0.935226726	0.934851326	0.938170735	1	0.864028609	0.899834036	0.920028299	0.908852627	0.893826963	0.895605669	0.772472563	0.874749866	0.852363164	0.873351375	0.86794939	0.854792736	0.848984037	0.915509148	0.904570873	0.896543792	0.910611744	0.900610086	0.876843381	0.903823133	0.924077305	0.916092653	0.906409809	0.925140646	0.936785229	0.926863018	0.917797218	0.923380566	0.908934784	0.909615858	0.903013795	0.913083087	0.899642947	0.910647056	0.876367195	0.911178171	0.917938523	0.919773256	0.932588458	0.896513577	0.929223098	0.908554907	0.922730138	0.929216102	0.93012621	0.914427306	0.922600059	0.931249896
COLO-205	0.887564355	0.785630551	0.82901542	0.839664398	0.882543771	0.851866855	0.868373298	0.843526074	0.83439708	0.84419485	0.864028609	1	0.925482688	0.892483055	0.899889481	0.929380917	0.932307873	0.753972907	0.842071283	0.854983898	0.857828367	0.851613872	0.854221958	0.863790517	0.862070338	0.842226453	0.84979154	0.843723898	0.848084063	0.843941256	0.858179159	0.858830962	0.857781926	0.894647657	0.873948923	0.866638848	0.864543424	0.852351043	0.867735754	0.893827442	0.871847009	0.841057753	0.881285285	0.876751828	0.884655124	0.866071724	0.863635334	0.870976526	0.860727698	0.870660587	0.868986263	0.867593197	0.868343834	0.872957534	0.876912664	0.842395783	0.864236233	0.875514454	0.863032846
HCC-2998	0.914281956	0.803203209	0.855402464	0.88009146	0.903002798	0.855335657	0.901645924	0.882353206	0.8710757	0.878114935	0.899834036	0.925482688	1	0.92682484	0.952046507	0.944935214	0.939400519	0.756177828	0.866820165	0.856056394	0.88036496	0.854385332	0.865985382	0.869671232	0.887081705	0.881122812	0.875796778	0.884698284	0.880569821	0.870710101	0.886488159	0.894191621	0.895630365	0.905574615	0.915166293	0.912407968	0.904565984	0.877437361	0.915278218	0.925360333	0.891700397	0.884172229	0.91156388	0.89948364	0.911344048	0.876263336	0.900890873	0.90125608	0.903955612	0.913250151	0.898476041	0.901616532	0.891506794	0.902800785	0.90371659	0.888357761	0.888227629	0.914294441	0.905095469
HCT-116	0.920000755	0.87423201	0.869328542	0.881160574	0.910733496	0.880161534	0.916026143	0.891779167	0.879809499	0.889810444	0.920028299	0.892483055	0.92682484	1	0.930880322	0.923550738	0.931662863	0.822565761	0.890735782	0.886690206	0.8916504	0.88203788	0.874968392	0.865209341	0.90851476	0.888816574	0.881190989	0.886575034	0.883847369	0.874885983	0.896904882	0.905834557	0.897146345	0.912595212	0.917791276	0.91697935	0.910164576	0.908206439	0.923528215	0.917305458	0.89371758	0.910836745	0.924401205	0.9006608	0.910246526	0.900782225	0.905081571	0.908468861	0.926312053	0.921909995	0.901166999	0.908743209	0.88887601	0.92248388	0.915212898	0.893952347	0.907190704	0.919793645	0.913591702
HCT-15	0.927250544	0.795224526	0.863621072	0.880490006	0.906978427	0.868583793	0.90563533	0.893227962	0.875813329	0.88930729	0.908852627	0.899889481	0.952046507	0.930880322	1	0.931051239	0.925944937	0.73438831	0.872963838	0.853363198	0.885269571	0.867138022	0.861308471	0.871411096	0.887514039	0.885723684	0.886498187	0.897476	0.890116197	0.8777983	0.889274557	0.89822832	0.906407153	0.901178896	0.919001319	0.927044577	0.91154265	0.870902493	0.929855246	0.926532461	0.888396897	0.894505387	0.920461502	0.9074045	0.917165325	0.873827538	0.917034628	0.912441564	0.906856522	0.914067135	0.908536845	0.913043261	0.883682461	0.907075791	0.908615772	0.895159312	0.897628047	0.919550204	0.911150856
HT29	0.907118976	0.813722481	0.850478641	0.878574389	0.905725012	0.868478635	0.894895407	0.872937727	0.85943563	0.87195499	0.893826963	0.929380917	0.944935214	0.923550738	0.931051239	1	0.937341398	0.762474566	0.867144941	0.86319499	0.87381239	0.867850319	0.867913709	0.876073445	0.88937119	0.862603932	0.870404779	0.867113263	0.867441188	0.853479922	0.87664726	0.880311808	0.880831808	0.907887156	0.904755721	0.901617428	0.897848046	0.889631855	0.898019109	0.922157965	0.893588215	0.873135088	0.903984305	0.898829661	0.912701474	0.889875432	0.893480251	0.896401373	0.899348182	0.900834364	0.896248597	0.897031125	0.893744483	0.908380227	0.905660275	0.885342991	0.890249866	0.908834205	0.896590518
KM12	0.907508189	0.834653266	0.85771552	0.873516387	0.90404456	0.874377955	0.894843698	0.869240643	0.867520116	0.87120797	0.895605669	0.932307873	0.939400519	0.931662863	0.925944937	0.937341398	1	0.79547048	0.869900464	0.872267605	0.876914233	0.868047007	0.871548346	0.868225627	0.88872976	0.865998018	0.864096388	0.867670643	0.869954291	0.856513979	0.880694389	0.887723089	0.882573029	0.909312588	0.901278794	0.896592786	0.891022672	0.8852859	0.896515828	0.916908941	0.888767893	0.874179242	0.912284083	0.896386972	0.904790219	0.884798993	0.888334906	0.898277158	0.897955621	0.910180037	0.88963661	0.89359603	0.881003728	0.901259518	0.900659235	0.872671681	0.888358445	0.904315339	0.895099561
SW-620	0.748891631	0.911433363	0.694455532	0.701558912	0.762330844	0.736085908	0.747585934	0.721467286	0.716370917	0.723588952	0.772472563	0.753972907	0.756177828	0.822565761	0.73438831	0.762474566	0.79547048	1	0.775611012	0.802717936	0.753078479	0.762528823	0.735187342	0.70209014	0.760119086	0.732328601	0.684167706	0.700120043	0.704219147	0.675470283	0.742123214	0.739916421	0.717292056	0.750843366	0.749758269	0.733503376	0.730487349	0.792823468	0.735653093	0.751367387	0.713160907	0.756210356	0.775130245	0.732344501	0.738372395	0.763979465	0.709489929	0.758346972	0.770300529	0.763252928	0.706737721	0.734904021	0.721534035	0.762449983	0.752891087	0.738456225	0.744314265	0.751334186	0.763037547
CCRF-CEM	0.871298105	0.822524232	0.818061119	0.843782894	0.86425423	0.840376294	0.879548927	0.84884369	0.836955212	0.852916725	0.874749866	0.842071283	0.866820165	0.890735782	0.872963838	0.867144941	0.869900464	0.775611012	1	0.903280604	0.881543934	0.949454334	0.875386259	0.866033753	0.867108973	0.849905375	0.845261848	0.847938927	0.847961671	0.829832227	0.873769753	0.869740379	0.869038569	0.852226558	0.859595196	0.869236083	0.86132115	0.853199517	0.879182363	0.853494047	0.851747804	0.879142262	0.866181438	0.841801399	0.854786683	0.839072273	0.86117807	0.853083135	0.896440417	0.862415744	0.842061217	0.858163319	0.82533139	0.866686919	0.856358302	0.847232438	0.864227722	0.866656365	0.857584917
HL-60(TB)	0.866819316	0.841439564	0.813297094	0.830423536	0.853179946	0.848905541	0.866177295	0.830784257	0.818662882	0.830900763	0.852363164	0.854983898	0.856056394	0.886690206	0.853363198	0.86319499	0.872267605	0.802717936	0.903280604	1	0.885642392	0.905754923	0.882284999	0.883501551	0.865905432	0.831333601	0.833457556	0.830864847	0.837274436	0.826681937	0.856251297	0.85355241	0.848722208	0.864613888	0.843972305	0.846802723	0.846582647	0.865807168	0.853000632	0.842223859	0.846736333	0.853915146	0.863431281	0.844658163	0.849574941	0.864150017	0.847845142	0.841610074	0.865359829	0.845709367	0.833851398	0.850597889	0.828643374	0.859866992	0.854489234	0.827282851	0.859804699	0.855339778	0.84279095
K-562	0.880933458	0.804020518	0.830796724	0.844829831	0.862038171	0.860029152	0.874538853	0.852212563	0.826881385	0.84511124	0.873351375	0.857828367	0.88036496	0.8916504	0.885269571	0.87381239	0.876914233	0.753078479	0.881543934	0.885642392	1	0.876169735	0.86195536	0.881794115	0.882432346	0.848615616	0.843786131	0.863728264	0.856739598	0.846685505	0.876614034	0.880598836	0.875668005	0.875991927	0.870849989	0.876710046	0.870067283	0.846149791	0.888589441	0.863460258	0.86154014	0.865254667	0.894798095	0.871081018	0.87238636	0.83138994	0.879882316	0.870344504	0.877407909	0.866955861	0.860204686	0.869185037	0.849644261	0.86318921	0.872385328	0.848535333	0.880966104	0.875323016	0.860316432
MOLT-4	0.875130416	0.808463015	0.822563173	0.837535087	0.857544539	0.861437792	0.874829956	0.840386632	0.831631838	0.851563446	0.86794939	0.851613872	0.854385332	0.88203788	0.867138022	0.867850319	0.868047007	0.762528823	0.949454334	0.905754923	0.876169735	1	0.868819597	0.875258106	0.86391669	0.837224071	0.851742639	0.842019817	0.843779204	0.83525873	0.863807447	0.857569766	0.858774241	0.868391304	0.848971281	0.858133806	0.848928426	0.858397089	0.867220211	0.84844357	0.862337151	0.872580644	0.866332389	0.850906531	0.857577911	0.845467982	0.862517067	0.851459318	0.87133105	0.848020613	0.854997	0.863480011	0.838382854	0.868359621	0.859023526	0.834977233	0.863895327	0.858708669	0.846319239
RPMI-8226	0.868249899	0.783835007	0.84257484	0.860196247	0.867913792	0.834086734	0.871858738	0.839601906	0.861153071	0.848276375	0.854792736	0.854221958	0.865985382	0.874968392	0.861308471	0.867913709	0.871548346	0.735187342	0.875386259	0.882284999	0.86195536	0.868819597	1	0.94654359	0.85115116	0.839038886	0.854282207	0.843040966	0.846405138	0.843900581	0.861631038	0.862989371	0.85943451	0.857689682	0.853606854	0.851815575	0.856420553	0.853581622	0.861487808	0.850873289	0.872246896	0.856250475	0.85164127	0.844855736	0.859555912	0.84865794	0.850346491	0.835446546	0.871883432	0.851875618	0.863088332	0.850159711	0.843467859	0.863247569	0.858179733	0.836695381	0.856967441	0.860283855	0.842901159
SR	0.87077891	0.759856338	0.828887881	0.846597498	0.856789562	0.857973375	0.865746226	0.840572577	0.826632589	0.840218194	0.848984037	0.863790517	0.869671232	0.865209341	0.871411096	0.876073445	0.868225627	0.70209014	0.866033753	0.883501551	0.881794115	0.875258106	0.94654359	1	0.86383048	0.833379611	0.850040099	0.848313497	0.851195336	0.842765501	0.862276841	0.861321717	0.866660492	0.87393435	0.851691917	0.852828713	0.857612398	0.840770301	0.866257806	0.853274744	0.86911518	0.84156249	0.864312848	0.862202612	0.866952233	0.837705556	0.864639582	0.844806548	0.855925441	0.84588406	0.857694396	0.861356614	0.852524823	0.856741817	0.863170957	0.836823645	0.867763514	0.865988319	0.843416378
LOX-IMVI	0.873892979	0.846159024	0.89996451	0.899732922	0.868992653	0.908977384	0.925997846	0.915755196	0.875558551	0.897937142	0.915509148	0.862070338	0.887081705	0.90851476	0.887514039	0.88937119	0.88872976	0.760119086	0.867108973	0.865905432	0.882432346	0.86391669	0.85115116	0.86383048	1	0.888411155	0.88302732	0.899215935	0.894110471	0.871299869	0.899057226	0.917078218	0.908970898	0.9037117	0.902604129	0.92255821	0.918583646	0.918329677	0.911807315	0.891655564	0.88441871	0.880051806	0.902984913	0.886618473	0.889225549	0.873161471	0.914656435	0.901451772	0.91314721	0.916842041	0.887775638	0.918569084	0.900967396	0.9124316	0.924841386	0.908075418	0.927872606	0.91781106	0.920199209
MALME-3M	0.867236714	0.809523883	0.875636631	0.872072605	0.86860694	0.856348678	0.904145123	0.899436584	0.883314098	0.910045806	0.904570873	0.842226453	0.881122812	0.888816574	0.885723684	0.862603932	0.865998018	0.732328601	0.849905375	0.831333601	0.848615616	0.837224071	0.839038886	0.833379611	0.888411155	1	0.922964528	0.933413747	0.949565664	0.9088227	0.94498103	0.941890877	0.932562814	0.870685063	0.898792263	0.905920144	0.911279923	0.875474298	0.904143547	0.871151203	0.868297053	0.873453351	0.884944198	0.862426554	0.881700327	0.850115532	0.882002645	0.879192377	0.889071011	0.897882339	0.872136184	0.889068358	0.874907017	0.896360774	0.896933348	0.897258921	0.87995858	0.893481953	0.901137007
M14	0.873776469	0.764374973	0.880351685	0.88436337	0.860451007	0.866730157	0.914464743	0.891094619	0.883322258	0.908636112	0.896543792	0.84979154	0.875796778	0.881190989	0.886498187	0.870404779	0.864096388	0.684167706	0.845261848	0.833457556	0.843786131	0.851742639	0.854282207	0.850040099	0.88302732	0.922964528	1	0.925551622	0.945263238	0.923631582	0.924398137	0.935049417	0.947656561	0.875939933	0.886304287	0.89810076	0.896591282	0.86794499	0.896575533	0.866841245	0.886327005	0.876786795	0.868903521	0.86124135	0.879406345	0.86479903	0.892191593	0.86651163	0.885045414	0.883170974	0.882420996	0.893908248	0.877486333	0.894884525	0.890365235	0.882423083	0.882071597	0.887717003	0.880684527
SK-MEL-2	0.873930443	0.787953042	0.876733395	0.875735905	0.864211127	0.867155242	0.912636446	0.903600301	0.884849744	0.910141901	0.910611744	0.843723898	0.884698284	0.886575034	0.897476	0.867113263	0.867670643	0.700120043	0.847938927	0.830864847	0.863728264	0.842019817	0.843040966	0.848313497	0.899215935	0.933413747	0.925551622	1	0.945079652	0.913698023	0.92583178	0.943909719	0.946798292	0.874820583	0.895617764	0.91896586	0.914588459	0.867505638	0.912798596	0.880936041	0.874476259	0.876019557	0.885349463	0.876798024	0.885835109	0.851278352	0.901105516	0.887099616	0.892321814	0.901530706	0.882640414	0.90464378	0.878069238	0.891194142	0.898695346	0.89675873	0.892621084	0.902923668	0.900061979
SK-MEL-28	0.870236154	0.785060207	0.879618537	0.878255195	0.860533466	0.8700154	0.90771925	0.896823999	0.882704233	0.906119583	0.900610086	0.848084063	0.880569821	0.883847369	0.890116197	0.867441188	0.869954291	0.704219147	0.847961671	0.837274436	0.856739598	0.843779204	0.846405138	0.851195336	0.894110471	0.949565664	0.945263238	0.945079652	1	0.927217215	0.956081538	0.953193921	0.947884983	0.879105357	0.891722839	0.903544849	0.902049722	0.869147355	0.903425271	0.874369304	0.877023291	0.874019049	0.882747403	0.872123504	0.883361823	0.857172664	0.891322043	0.878887146	0.886849722	0.892543681	0.873799021	0.899012278	0.878251556	0.892224639	0.893801192	0.892572521	0.886080858	0.896588957	0.892549421
SK-MEL-5	0.87278285	0.748469399	0.859205213	0.864474749	0.854596313	0.848805705	0.892185343	0.867238797	0.870649905	0.879617184	0.876843381	0.843941256	0.870710101	0.874885983	0.8777983	0.853479922	0.856513979	0.675470283	0.829832227	0.826681937	0.846685505	0.83525873	0.843900581	0.842765501	0.871299869	0.9088227	0.923631582	0.913698023	0.927217215	1	0.926549741	0.925348707	0.920858219	0.871396428	0.874810567	0.882953177	0.87906241	0.847157915	0.893774768	0.859212818	0.87386511	0.875760392	0.863718486	0.85643125	0.867083919	0.850101274	0.876297972	0.851007095	0.870290248	0.86933515	0.870611986	0.875472084	0.859333364	0.875636786	0.875736808	0.857480455	0.866187943	0.873721092	0.864862937
